Nejvýznamnější stránky,Prokliky,Zobrazení,CTR,Pozice
https://adventnicesta.cz/,5,6,83.33%,2
https://adventnicesta.cz/autori,4,54,7.41%,15.89
https://adventnicesta.cz/den/2022-12-11,3,5,60%,16.6
https://adventnicesta.cz/den/2022-12-12,2,5,40%,7.6
https://adventnicesta.cz/den/2022-12-23,1,5,20%,19
https://adventnicesta.cz/den/2022-12-04,1,3,33.33%,14.67
https://adventnicesta.cz/slova-biskupa-Jana,1,2,50%,2
https://adventnicesta.cz/slova-Anny-Maclove,1,1,100%,2
https://adventnicesta.cz/den/2022-12-18,0,8,0%,22.38
https://adventnicesta.cz/den/2022-12-24,0,4,0%,23.25
https://adventnicesta.cz/den/2022-12-17,0,3,0%,12.67
https://adventnicesta.cz/den/2022-12-10,0,3,0%,15
https://adventnicesta.cz/den/2022-12-21,0,2,0%,4.5
https://adventnicesta.cz/den/2022-12-19,0,2,0%,8.5
https://adventnicesta.cz/den/2022-12-03,0,2,0%,16.5
https://adventnicesta.cz/den/2022-12-22,0,1,0%,4
https://adventnicesta.cz/den/2022-12-15,0,1,0%,6
https://adventnicesta.cz/den/2022-12-20,0,1,0%,7
https://adventnicesta.cz/den/2022-11-27,0,1,0%,8
https://adventnicesta.cz/den/2022-12-08,0,1,0%,9
https://adventnicesta.cz/den/2022-12-05,0,1,0%,10
https://adventnicesta.cz/den/2022-12-16,0,1,0%,15
https://adventnicesta.cz/den/2022-11-29,0,1,0%,16
https://adventnicesta.cz/den/2022-12-02,0,1,0%,19
https://adventnicesta.cz/den/2022-12-14,0,1,0%,19